"name","buoyancy","height","area","CD","code","source","originalName"
"14in centre hole tfloat",18.04,0.356,0.099315,0.6,NA,"CMAR","14in centre hole tfloat"
"11in centre hole tfloat",7.77,0.279,0.061312,0.6,NA,"CMAR","11in centre hole tfloat"
"8in centre hole tfloat",2.752,0.203,0.032429,0.6,NA,"CMAR","8in centre hole tfloat"
