"name","buoyancy","height","area","CD","code","source","originalName"
"1 Railway Wheel",-350,0.15,0.15,1.3,1,"Dewey","1 Railway Wheel"
"2 Railway Wheels",-700,0.35,0.35,1.3,1,"Dewey","2 Railway Wheels"
"3 Railway Wheels",-1050,0.55,0.55,1.3,1,"Dewey","3 Railway Wheels"
"4 Railway Wheels",-1400,0.7,0.7,1.3,1,"Dewey","4 Railway Wheels"
"1 Concrete Block",-200,0.5,0.4,1.3,1,"Dewey","1 Concrete Block"
"2 Concrete Blocks",-400,0.7,0.7,1.3,1,"Dewey","2 Concrete Blocks"
"3 Concrete Blocks",-600,1,1,1.3,1,"Dewey","3 Concrete Blocks"
"1 Tire-St+Con",-115,0.15,0.075,1.3,1,"Dewey","1 Tire-St+Con"
"1 Large St/C Tire",-150,0.15,0.075,1.3,1,"Dewey","1 Large St/C Tire"
