name,buoyancy,height,area,CD,code,source,originalName
3 trainwheels,-1050.0,0.55,0.0,1.3,NA,kelley,NA
8x8x16 cinder block,-9.37,0.203,0.0826,1.3,NA,kelley,NA
8x8x16 concrete block,-13.3,0.203,0.0826,1.3,NA,kelley,NA

