"name","buoyancy","height","width","diameter","CD","code"
"HMB 20",34.5,0.508,0,0.508,0.65,0
"HMB 25",68.5,0.6350,0,0.6350,0.65,0
"HMB 31",141,0.7874,0,0.7874,0.65,0
"HMB 36",225,0.9144,0,0.9144,0.65,0
"HMB 40",300,1.0160,0,1.0160,0.65,0
"HMB 44",413,1.1176,0,1.1176,0.65,0
"HMB 49",565,1.2446,0,1.2446,0.65,0
"HMB 51",633,1.2954,0,1.2954,0.65,0
"HMB 56",831,1.4224,0,1.4224,0.65,0
"HMB 62",1122,1.5748,0,1.5748,0.65,0
