name,buoyancyPerMeter,diameter,CD,code,source
3/16in galvanized wire coated to 1/4in, -0.0775, 0.00635,   1.3,NA,BIO
1/4in galvanized wire coated to 5/16in, -0.138,  0.0079375, 1.3,NA,BIO

