"name","buoyancy","height","width","CD","code","source"
"eg&g 723a",                       -15.20, 1.194, 0.1173, 0.65, NA, "BIO"
"eg&g 723a with tension bar",      -25.87,  1.32, 0.1061, 0.65, NA, "BIO"
"benthos 965a release",            -36.73,  1.23, 0.1033, 0.65, NA, "BIO"
"benthos 966a and 866a release",   -13.16,  0.68, 0.1647, 0.65, NA, "BIO"
"benthos 865a releas 1",           -27.86, 61.25, 0.1990, 0.65, NA, "BIO"
"vr2w  release with float collar", -12.11,   0.4, 0.5925, 0.65, NA, "BIO"

